rank,name,developer,data_safety
229,Temple Run 2,Imangi Studios,http://imangistudios.com/privacy/privacy-policy.htm
230,Farm Heroes Saga,King,https://king.com/privacyPolicy
231,Genshin Impact,COGNOSPHERE PTE. LTD.,https://genshin.hoyoverse.com/company/privacy
232,Pokémon GO,"Niantic, Inc.",https://nianticlabs.com/privacy/pokemongo/en
233,PUBG MOBILE,Level Infinite,http://pubgmobile.proximabeta.com/privacy.html
234,Two Dots: Fun Dot & Line Games,PlayDots,https://legal.socialpoint.es/privacy?v2.0
235,Candy Crush Soda Saga,King,https://king.com/privacyPolicy
236,Dream League Soccer 2024,First Touch Games Ltd.,https://www.ftgames.com/privacy-policy
237,Temple Run,Imangi Studios,http://imangistudios.com/privacy/privacy-policy.htm
238,Tile Club - Match Puzzle Game,GamoVation,https://www.gamovation.com/legal/privacy-policy.html
239,Words of Wonders: Crossword,Fugo Games,http://fugo.com.tr/privacypolicy-wordsofwonders.html
240,Hay Day,Supercell,https://supercell.com/en/privacy-policy/
241,Free Fire: 7th Anniversary,Garena International I,https://content.garena.com/legal/pp/pp_en.html
242,Candy Crush Saga,King,https://king.com/privacyPolicy
243,Roblox,Roblox Corporation,http://www.roblox.com/info/Privacy.aspx
244,8 Ball Pool,Miniclip.com,https://www.miniclip.com/privacy-policy
245,Mobile Legends: Bang Bang,Moonton,https://m.mobilelegends.com/news/articleldetail?newsid=2690279
246,Clash of Clans,Supercell,https://supercell.com/en/privacy-policy/
247,Royal Match,"Dream Games, Ltd.",https://dreamgames.com/en/privacy
248,Free Fire MAX,Garena International I,https://content.garena.com/legal/pp/pp_en.html
249,Subway Surfers,SYBO Games,https://sybogames.com/privacy-policy/
250,Plants vs. Zombies™,ELECTRONIC ARTS,http://privacy.ea.com/en
251,Google Play Games,Google LLC,http://www.google.com/policies/privacy
252,Minion Rush: Running Game,Gameloft SE,http://www.gameloft.com/privacy-notice/
253,Among Us,Innersloth LLC,https://www.innersloth.com/privacy.php
254,Township,Playrix,https://www.playrix.com/privacy/index.html
255,Asphalt 8 - Car Racing Game,Gameloft SE,http://www.gameloft.com/privacy-notice/
256,Crossy Road,HIPSTER WHALE,http://www.crossyroad.com/privacy.html
257,Fruit Ninja®,Halfbrick Studios,https://www.halfbrick.com/pp
258,Minecraft,Mojang,http://go.microsoft.com/fwlink/?LinkId=521839
259,Temple Run 2,Imangi Studios,http://imangistudios.com/privacy/privacy-policy.htm
260,Farm Heroes Saga,King,https://king.com/privacyPolicy
261,Genshin Impact,COGNOSPHERE PTE. LTD.,https://genshin.hoyoverse.com/company/privacy
262,Pokémon GO,"Niantic, Inc.",https://nianticlabs.com/privacy/pokemongo/en
263,PUBG MOBILE,Level Infinite,http://pubgmobile.proximabeta.com/privacy.html
264,Two Dots: Fun Dot & Line Games,PlayDots,https://legal.socialpoint.es/privacy?v2.0
265,Candy Crush Soda Saga,King,https://king.com/privacyPolicy
266,Dream League Soccer 2024,First Touch Games Ltd.,https://www.ftgames.com/privacy-policy
267,Temple Run,Imangi Studios,http://imangistudios.com/privacy/privacy-policy.htm
268,Tile Club - Match Puzzle Game,GamoVation,https://www.gamovation.com/legal/privacy-policy.html
269,Words of Wonders: Crossword,Fugo Games,http://fugo.com.tr/privacypolicy-wordsofwonders.html
270,Hay Day,Supercell,https://supercell.com/en/privacy-policy/
271,Free Fire: 7th Anniversary,Garena International I,https://content.garena.com/legal/pp/pp_en.html
272,Candy Crush Saga,King,https://king.com/privacyPolicy
273,Roblox,Roblox Corporation,http://www.roblox.com/info/Privacy.aspx
274,8 Ball Pool,Miniclip.com,https://www.miniclip.com/privacy-policy
275,Mobile Legends: Bang Bang,Moonton,https://m.mobilelegends.com/news/articleldetail?newsid=2690279
276,Clash of Clans,Supercell,https://supercell.com/en/privacy-policy/
277,Royal Match,"Dream Games, Ltd.",https://dreamgames.com/en/privacy
278,Free Fire MAX,Garena International I,https://content.garena.com/legal/pp/pp_en.html
279,Subway Surfers,SYBO Games,https://sybogames.com/privacy-policy/
280,Plants vs. Zombies™,ELECTRONIC ARTS,http://privacy.ea.com/en
281,Google Play Games,Google LLC,http://www.google.com/policies/privacy
282,Minion Rush: Running Game,Gameloft SE,http://www.gameloft.com/privacy-notice/
283,Among Us,Innersloth LLC,https://www.innersloth.com/privacy.php
284,Township,Playrix,https://www.playrix.com/privacy/index.html
285,Asphalt 8 - Car Racing Game,Gameloft SE,http://www.gameloft.com/privacy-notice/
286,Crossy Road,HIPSTER WHALE,http://www.crossyroad.com/privacy.html
287,Fruit Ninja®,Halfbrick Studios,https://www.halfbrick.com/pp
288,Minecraft,Mojang,http://go.microsoft.com/fwlink/?LinkId=521839
